1606325061 1 0 0 0 0
1606325091 2 0 0 0 0
1606328638 3 0 0 0 0
1606507434 4 0 0 0 0
1606573389 4 0 1 0 0
1606573486 4 0 2 0 0
1606573629 4 0 3 0 0
1606593518 5 0 3 0 0
1606594200 6 0 3 0 0
1606594933 6 0 3 0 1
1606595545 6 0 3 0 2
1606595705 6 0 3 0 3
1606673520 6 1 3 0 3
1606675334 6 1 4 0 3
1606680726 6 1 4 1 3
1606682703 7 1 4 1 3
1606683294 8 1 4 1 3
1606730182 8 1 4 1 4
1606765297 9 1 4 1 4
1606766498 9 1 4 1 5
1606786599 9 2 4 1 5
1606786630 9 3 4 1 5
1606787145 9 4 4 1 5
1606787333 9 5 4 1 5
1606803679 9 5 5 1 5
1606841022 9 5 5 2 5
1606847955 10 5 5 2 5
1606853067 11 5 5 2 5
1606858411 12 5 5 2 5
1606893123 13 5 5 2 5
1606902251 13 5 5 3 5
1606908020 14 5 5 3 5
1606910095 14 6 5 3 5
1606912630 14 7 5 3 5
1606913265 14 8 5 3 5
1606913765 14 8 6 3 5
1606914524 14 8 7 3 5
1606918080 14 9 7 3 5
1606920634 14 10 7 3 5
1606920706 15 10 7 3 5
1606920988 15 10 8 3 5
1606922394 15 11 8 3 5
1606922446 15 11 9 3 5
1606922823 15 11 10 3 5
1606922993 16 11 10 3 5
1606923041 17 11 10 3 5
1606923971 17 11 11 3 5
1606926079 18 11 11 3 5
1606930511 18 11 11 4 5
1606930553 19 11 11 4 5
1606931895 20 11 11 4 5
1606932775 20 11 11 5 5
1606932817 20 11 11 6 5
1606937629 21 11 11 6 5
1606937659 22 11 11 6 5
1606938482 22 12 11 6 5
1606939368 22 12 11 7 5
1606940100 22 12 12 7 5
1606940115 22 12 12 8 5
1606940201 22 12 12 9 5
1606941097 23 12 12 9 5
1606941108 24 12 12 9 5
1606941759 25 12 12 9 5
1606943807 25 13 12 9 5
1606943950 26 13 12 9 5
1606943978 27 13 12 9 5
1606944706 28 13 12 9 5
1606948341 28 13 12 10 5
1606948490 28 14 12 10 5
